haplogroup	example_accession_1	example_accession_2
C4b2a	FJ951598	EU482333
C4b3	KF148478	FJ951447
C4b3a	EU482310	KF148111
C4b3a1	EU482324	EU482315
C4b3b	AF346970	KF148228
C4b5	FJ951580	FJ951460
C4b6	FJ951451	EU482375
C4b7	EU482313	EU482326
C4b8	KF148472	
C4b8a	EU482370	AY519490
C4c	EU095543	
C4c1	JF979205	GU215075
C4c1a	JQ705814	JF979198
C4c1b	JF979202	JF979203
C4c2	JQ705381	JF979210
C4_T152C!_T16093C	GQ895156	
C4d	NA18631	GQ895155
C4e	FJ951611	FJ951610
C5a1	FJ951515	FJ951439
C5a2a	FJ951457	KF148083
C5a2b	EU482306	EU482328
C5a2b1	KF148150	FJ951595
C5b	FJ951454	
C5b1	FJ951472	HM036577
C5b1a	FJ951441	FJ951566
C5b1a1	AY615359	FJ951464
C5b1b	FJ951496	
C5b1b1	KF148480	FJ951438
C5_T16093C	AP008664	NA18566
C5c	FJ951614	KC911293
C5c_C16234T	KC911629	
C5c1	FJ951452	
C5c1a	JN315676	FJ951605
C5d1	FJ951440	EU482303
C5d2	FJ951576	JF824965
C7	FJ951594	KF849951
C7a	FJ748711	GU810045
C7a1a1	FJ383630	
C7a1a2	FJ383627	FJ383622
C7a1c	FJ951563	AY255176
C7a1d	FJ383636	
C7a2	JF896797	
C7a2a	EF429136	KC251742
C7_A16051G	FJ951540	
C7b	FJ383641	JF903929
Z1	AY519493	
Z1a	FJ147318	
Z1a1a	FJ493512	DQ902711
Z1a1b	KC985156	FJ493513
Z1a2	HM044854	
Z1a2a	AY195761	FJ493515
Z1a3	KC985155	FJ493509
Z2	AP008426	AP011007
Z3	AP008841	
Z3a1	EU597518	
Z3a1a	JF824889	FJ383642
Z3a2	FJ383603	FJ383602
Z3b	FJ383644	FJ383645
Z3_G709A	KC985166	
Z3c	HM852845	NA19072
Z3d	JF824858	KF540732
Z4	GU392051	KC733271
Z4a	NA19005	
Z4a1	AY255155	
Z4a1a	HG00436	
Z4a1a1	AP013181	AP008305
Z7	FJ383629	FJ383625
Z5	AP008553	
M9a	AP010767	HM346891
M9a1	HM346892	
M9a1a	HM346905	HM346903
M9a1a1	HM346912	
M9a1a1a	AP008629	AF346972
M9a1a1b	AP008378	HM346908
M9a1a1c	HM346913	
M9a1a1c1a	JN857063	HM346936
M9a1a1c1b1	HM346915	
M9a1a1c1b1a	HM346924	KF056287
M9a1a1c1b1a1	HM346918	HM036540
M9a1a1c1b1a2	HM036568	HM346926
M9a1a1c1b2	FJ383325	FJ383324
M9a1a1c1c	HM346914	KF849895
M9a1a1d	HM346910	HM346911
M9a1a2	FJ748758	HM346902
M9a1a3	KF540711	JN857051
M9a1b	HM346893	
M9a1b_C150T	HM346895	GQ895143
M9a1b1	FJ748735	FJ383315
M9a1b1a	FJ383311	
M9a1b1a1	FJ383310	FJ383316
M9a1b1b	FJ383327	FJ383326
M9a1b1c	FJ748743	GQ895140
M9a1b2	JN857049	HM346898
M9a4a1	EF093554	HM346882
M9a4a2	HM346885	HM346884
M9a4b	JN857050	HM346886
M9a5	HM346889	HM346887
M9b	KF849927	HM346881
E1	KF540505	
E1a1	GQ119027	EF093538
E1a1a	EF093539	
E1a1a1	KF540515	EF093557
E1a1a1a	EF185804	GU810007
E1a1a1b	KF540805	KF540812
E1a1a1b1	EF093540	JQ703727
E1a1a1b2	KF540887	EF093552
E1a1a1c	KC993911	KC993907
E1a1b	HQ700849	EF185812
E1a1b1	HQ700847	HQ700848
E1a1b2	EF185805	EF185814
E1a1b3	FJ428235	EF093548
E1a1b4	KJ154942	EF061152
E1a1c	EF093536	KF540532
E1a2	FJ428236	
E1a2_C16261T	EF185795	AP012357
E1a2a	KJ154697	KJ154788
E1a2a1	EF061150	EF061148
E1a2a2	KJ154892	EF061149
E1a2a3	KJ154845	KJ154836
E1a2a4	KJ154781	KJ154653
E2	EF093542	
E2a	EF093550	HQ700865
E2a1	EF093549	
E2a1a	GU733741	GQ119047
E2a2	EF093541	EF185813
E2b	EF185816	GU733775
E2b1	EF185810	KF541014
E2b2	EF093537	KF540516
M10	DQ272116	
M10a	JX289127	
M10a1	JX289101	
M10a1_G16129A	JN857060	
M10a1a	NA18577	
M10a1a1a	AP008719	AY255178
M10a1a1b	NA18760	
M10a1a1b1	AP010668	JN857013
M10a1a1b2	AP013191	KF540692
M10a1b	AY255154	FJ383650
M10a2	JN857058	AP008599
M11a	FJ383334	AY255142
M11a1	FJ383332	FJ383331
M11a2	FJ748759	GQ895157
M11b1	KF540712	
M11b1a	AP008639	
M11b1a1	AP013153	AY255156
M11b2	AP010828	JN857010
M11d	JN857062	NA17983
M11c	AP010716	NA18608
M12a1a	HQ157977	
M12a1a1	HQ157978	HG00626
M12a1a2	HQ157973	EU294322
M12a1b	AY255172	HQ157983
M12a2	HQ157974	JX289125
M12b1a1	FJ383653	FJ383652
M12b1a2a	KC505071	KC505077
M12b1a2b	KC505080	KC505076
M12b1b	KC505084	KC505074
M12b2	HQ157972	
M12b2a	KC505086	KC505088
G1	NA18634	
G1a1	HM460792	NA18163
G1a1a	AP008511	AP010753
G1a1a1	AP008696	AP009447
G1a1a2	AP013178	AP011057
G1a1a3	AP008909	AP008809
G1a1a4	AP008845	AP011049
G1a1b	EF153773	KF540834
G1a2	DQ272114	NA18764
G1a3	AP013126	AP008618
G1b1	KF148338	EF153826
G1b_G16129A	KF148158	KF148075
G1b2	EF153829	EU007841
G1b3	KF148165	EF153805
G1b4	KF148577	KF148275
G1c	AP012400	EF153821
G1c1	AY255137	FJ748707
G1c2	NA18570	FJ198218
G2a1	FJ198217	
G2a1b	AP008535	AP008448
G2a1_T16189C!	AP008515	AY255157
G2a1_T16189C_A16194G	AP008569	
G2a1c	AP011017	AP008452
G2a1c1	AP008401	AP008294
G2a1c2	AP008662	AP010768
G2a1d1	AP008427	AP008668
G2a1d1a	AP008313	NA19003
G2a1d2	KF849931	
G2a1d2a	HM030544	NA18526
G2a1e	AP008528	AP010772
G2a1f	NA18635	
G2a1f1	KF849943	JF824853
G2a1g	KF849910	HM460794
G2a1h	HM036563	FJ383503
G2a_T152C	EU545470	
G2a2	JF824917	
G2a2a	JQ705820	JX266266
G2a3	KC911517	
G2a3a	GU123045	EU523127
G2a4	JF824986	JX266262
G2a5	AP008897	AP008301
G2c	JF824842	KF849950
G2b1a	FJ015040	KF849921
G2b1a1	JX289093	JX289114
G2b1a2	KF849956	AY255139
G2b1b	FJ383505	FJ748756
G2b2	EU597571	
G2b2a	FJ383509	FJ383510
G2b2b	HQ260973	AP010829
G2b2c	GU123035	JF824915
G3a1	GU014566	
G3a1a	DQ272108	GU014569
G3a2	KF540726	
G3a2_T152C	JN580300	
G3a2a	AP008645	DQ272111
G3a3	KF849958	GU392096
G3b1	FJ748726	AF346966
G3b2	DQ272109	KF849979
G4	AP008911	AP013144
M13a1	JX462680	
M13a1a	AP008495	AP008370
M13a1b	GU392104	GQ895142
M13a1b1	JN857028	KF148509
M13a2	FJ968773	FJ748749
M13b1	AY963577	FJ770957
M13b2	HM030529	FJ383769
M13c	JX289122	GU810056
M46	KC505096	
M46a	FJ442939	GU810038
M61	JX289113	
M61a	HM030538	HM030546
M14	EF495222	DQ904234
M15	EF495219	
M17a	GU810076	GQ301869
M17c	GQ301876	
M17c1	KC993910	
M17c1a	GQ352635	
M17c1a1	KC993929	
M17c1a1a	KC505090	EU597577
M19	JF739540	
M53	AY922302	
M53b	FJ383438	FJ383442
M21a	AP012377	AY963576
M21b1	KC505091	
M21b1a	AY963581	JF739541
M21b_A210G	KC505092	
M21b2	GQ301866	GU810016
M22a	AY963583	GQ301878
M22b	GQ301880	HM030499
M23	GQ389777	FJ543102
M75	HM030540	HM030524
M24a	KC505094	JF739543
M24b	KC505093	KF849906
M41	DQ513522	
M41a	AY922280	
M41a1	FJ383717	FJ383716
M41b	DQ513521	FJ383722
M41c	FJ383720	GU480001
M25	KJ154681	KJ154709
M26	HM596710	HM596670
M27a1a1	DQ137411	DQ137410
M27a1a2	KJ154546	KJ154498
M27a1b	KJ154715	KJ154710
M27a2a	KJ154533	KJ154522
M27a2b	KJ154494	KJ154601
M27a3	KJ154488	KJ154632
M27b1	DQ137403	DQ137402
M27b2	KJ154728	KJ154720
M27b2a	KJ154707	
M27b2a1	KJ154729	KJ154665
M27b2b	KJ154676	
M27b2b1	KJ154654	KJ154792
M27b2c	KJ154721	KJ154719
M27c	KJ154770	KJ154619
M28a1	DQ372879	DQ372883
M28a2	KJ154478	
M28a2a	EF061145	KJ154253
M28a3	KJ154806	KJ154798
M28a4	KJ154163	KJ154167
M28a5	KJ154451	
M28a5a	KJ154902	KJ154913
M28a5b	KJ154832	DQ137401
M28a6	KJ154634	
M28a6a	KJ154481	KJ154495
M28a7	DQ137400	
M28a7a	KJ154668	KJ154667
M28a7b	KJ154860	KJ154859
M28b	KJ154292	
M28b1	KJ154666	DQ137399
M29a	DQ137408	DQ137407
M29b	EF495217	KJ154801
M29b1	KJ154923	EF061147
Q1	AY289090	
Q1a	AY289085	
Q1a1	EU597495	
Q1a1a	KJ154590	AY289082
Q1b	KJ154866	DQ372882
Q1c	KJ154885	
Q1c1	KJ154631	
Q1c1a	KJ154557	EU597543
Q1c2	KJ154909	KJ154852
Q1c2a	KJ154875	KJ154879
Q1d	KF540947	GU733817
Q1e	KJ154939	
Q1e1	KJ154444	
Q1e1a	KJ154787	KJ154833
Q1e1a1	KJ154815	KJ154812
Q1e1b	KJ154774	KJ154680
Q1e1b1	KJ154583	KJ154603
Q1e1c	KJ154734	KJ154713
Q1f1	DQ372885	DQ372884
Q1f2	KJ154816	KJ154797
Q2a	HQ113226	KJ154248
Q2a1	GQ214525	GQ214527
Q2a2a	GQ214526	KJ154936
Q2a2b	KJ154178	GQ214521
Q2a3a	AY956412	KJ154839
Q2a3b	KJ154799	KJ154822
Q2a4	KJ154824	GQ214522
Q2b	EF495218	
Q3a	AY289079	DQ112895
Q3a_C61T_G62A	DQ112896	
Q3a1	AY289089	EU597519
Q3b	EF061146	
M31a1a	AY950298	
M31a1b	DQ149515	DQ408673
M31a2	HQ438684	EF060265
M31b1	HQ438686	HQ438685
M31c	FJ770962	
M32a	DQ149512	AY950296
M32c	GQ389779	NA19982
M56	FJ383487	FJ383486
M33a	FJ770960	
M33a1a	FJ383339	FJ770959
M33a1b	FJ383353	DQ408680
M33a2	FJ383361	FJ770969
M33a2a	AY922276	JN540042
M33a3	FJ770950	
M33a3a	JX289104	FJ383359
M33b	FJ770968	
M33b1	FJ383362	HM030510
M33b2	AY922298	JF742198
M33c	EU148486	HM030517
M33d	FJ383346	JX462713
M34a1	JX462718	
M34a1a	JX289117	AY922304
M34a2	FJ383682	FJ383680
M34b	AY922274	FJ383681
M57_T152C!	FJ383760	
M57a	FJ383763	FJ383764
M57b	FJ383761	
M57b1	FJ383759	FJ383758
M35	FJ770956	
M35a1	FJ383365	FJ383368
M35a1a	FJ383384	AY289074
M35a2	FJ383363	AY922279
M35b	AY922272	
M35b_T16304C	FJ770966	
M35b1	FJ383378	FJ383374
M35b2	FJ383381	FJ383373
M35b3	HM036535	HM036559
M35b4	FJ383370	JF742208
M35c	FJ383382	FJ383366
M36a	AY922287	
M36b	AY922284	
M36c	FJ383808	FJ383795
M36d	FJ383807	
M36d1	FJ383784	FJ383803
M39	AY922288	
M39a	FJ383714	
M39a1	FJ383710	EF556151
M39a2	FJ383705	FJ383712
M39b1	FJ383699	AY922275
M39b2	FJ383713	FJ383702
M39c	AY922293	AY922269
M70	HM030534	FJ748741
M40	AY922294	
M40a	FJ383416	AY922271
M40a1	FJ383412	FJ383407
M40a1a	FJ383413	FJ383425
M40a1b	FJ383417	FJ383419
M42a	DQ404445	DQ112755
M42b1	HQ260949	FJ380213
M42b1a	FJ380210	FJ383745
M42b2	KC577356	FJ380216
M74a	GU377083	HM030539
M74b	HM030520	
M74b1	HM596679	JX289120
M74b2	AP012354	HM596667
M44	FJ383750	
M44a	AY922253	FJ383748
M44a1	FJ383751	FJ383752
M49a1	HM030526	FJ383735
M49c	FJ383766	
M49c1	JX289106	FJ383768
M49d	FJ383765	FJ770940
M49e	JX289133	
M49e1	JX289094	JX289099
M50	GQ301868	
M50a1	GU810023	GU810018
M50a2	KC994151	JX289098
M52a	JQ703445	
M52a1a	FJ157841	FJ157847
M52a1b	JX462717	
M52a1b1	KC993960	KC993961
M52b	JF742203	AY922299
M52b1	FJ770964	
M52b1a	FJ383488	FJ383489
M55	KC896622	AY963582
M77	GQ301865	
M58	FJ383493	JX289110
M59	JQ702247	KC505104
M60a1	FJ383496	FJ383495
M60a2	FJ383498	FJ383494
M60b	FJ383500	JF742204
M62a	FJ383501	GQ895161
M62b	FJ544231	
M62b_T204C	FJ544239	
M62b1	GQ895169	
M62b1a	FJ544241	
M62b1a1	FJ544235	FJ544243
M62b2	FJ544233	FJ748717
M68	JX289131	
M68a1	KC887488	
M68a1a	KC887480	KC887484
M68a2	KC887491	
M68a2a	KC505106	KC887477
M69	HM596653	
M69a	KC887492	KC505108
M71_C151T	KC505110	JX289103
M71a	GQ119008	
M71a1	HM030543	
M71a1a	HM030502	KC733256
M71a2	JX289128	GQ119038
M71b	HM030511	HM030507
M71c	GU810039	GQ301872
M72	HM030501	
M72a	JX289126	GQ119044
M73a	GQ119039	
M73a1	GQ119017	GQ301883
M73b	GQ119012	KC505111
M79	HM030504	
M76	HM030525	
M76a	HM030541	JF824857
M81	KC577353	JX462697
M91a	JX289097	HM030537
M91b	KC887489	KC505114
M80	JF739537	
D4	JQ704974	JN375993
D1	JN253391	EU095232
D1a1	EU095233	EU095234
D1a2	AF346984	EU095237
D1b	DQ282479	DQ282484
D1c	HQ012249	DQ282477
D1d1	HQ012255	DQ282480
D1d2	HQ012245	NA19716
D1e	EU597510	EU095236
D1f	EU095536	
D1f1	EU095235	EU095240
D1f2	JQ702137	HG01441
D1f_T16189C!	EU431089	
D1f3	JQ701868	HQ012257
D1g	JN253393	
D1g1a	JN253395	JN253394
D1g1b	JN253399	JN253400
D1g2	JN253401	
D1g2a	JN253404	JN253405
D1g5	JN253415	JN253414
D1g3	JN253409	JN253407
D1g4	JN253411	JN253410
D1g6	JN253418	JN253417
D1h1	HQ012251	NA19661
D1h2	HQ012258	NA19728
D1i	DQ282487	
D1i1	NA19747	HQ012247
D1i2	NA19741	HQ012246
D1j	JN253419	JN253420
D1j1	JN253422	JN253421
D1j1a	JN253423	JN253424
D1j1a1	JN253431	JN253430
D1j1a2	JN253434	JN253435
D1k	DQ282483	NA19755
D1m	JQ704599	HQ012256
D1n	JQ703865	DQ282482
D4a1	AP009430	AP008444
D4a1a	AP010710	
D4a1a1	AP010723	AP008745
D4a1a1a	AP010669	AP008398
D4a1b	AP008314	AP010760
D4a1b1	AP010762	AP008334
D4a1c	AP008312	AP008449
D4a1d	AP008871	AP008805
D4a1e	KF148380	JF824827
D4a1e1	AP008614	AP010713
D4a1f	AP010737	
D4a1f1	AP013245	JQ702207
D4a1g	JF824972	FJ951517
D4a1h	AP008497	AP013113
D4a2	AP013248	AP008765
D4a2a	AP011008	AP008839
D4a2b	AP013286	AP010663
D4a3a1	JF824835	JF271009
D4a3a2	AP008862	AP008907
D4a3b	KF849918	
D4a3b1	AP011047	AP009445
D4a3b2	JF824944	AY255160
D4a_C16294T	AP008582	
D4a4	AP008888	DQ112864
D4a5	FJ748716	JX289096
D4a6	KF849929	KC577361
D4a7	KF540709	KF540686
D4a8	KF540683	KF540715
D4b1a1	AP008876	AP010720
D4b1a1a	AP008332	AP008767
D4b1a2	EU482305	
D4b1a2a	FJ951581	NA18535
D4b1a2a1	EU007895	FJ951490
D4b1a2a2	EU482385	FJ951487
D4b1b1	AP008254	
D4b1b1a	AP008440	AP008410
D4b1b1a1	AP008476	AP011029
D4b1b2	AP008708	AY255165
D4b1d	HM030519	NA18789
D4b1c	JQ703736	
D3	EU482316	EF153800
D4b2	AP011004	
D4b2a	AP008434	
D4b2a1	AP008286	AP008502
D4b2a2	AP013190	
D4b2a2a	AP008703	AP008463
D4b2a2a1	AP008287	AP008868
D4b2a2a2	AP013213	AP008303
D4b2a2b	AP010697	AP008804
D4b2b	AP008757	NA18702
D4b2b1	AP008264	AF346989
D4b2b1a	AP008467	AP008523
D4b2b1b	AP008333	AP008302
D4b2b1c	AP013251	NA19070
D4b2b1_T146C!	AP008292	AP008361
D4b2b1d	AP013158	EU597488
D4b2b2	KF849955	
D4b2b2a	JF824962	
D4b2b2a1	AP008457	AP008684
D4b2b2b	HM030530	NA18647
D4b2b2c	NA18739	FJ951498
D4b2b3	AP013111	AP008579
D4b2b4	FJ383213	FJ493502
D4b2b5	FJ951535	FJ951470
D4b2b6	NA18145	NA18625
D4b2b7	KF540670	JQ704956
D4b2d	FJ951514	FJ951541
D4c1a	AP008633	AP010983
D4c1a1	AP009433	AP008431
D4c1b	AP008251	
D4c1b1	AP008494	AP010830
D4c1b2	AP013273	AP008609
D4c2a	HM776716	FJ951494
D4c2b	FJ858889	FJ951602
D4c2c	AP008348	AP010711
D4d	AP008628	
D4e1	NA17981	
D4e1a	AP008789	
D4e1a1	AP008275	AP008624
D4e1a2	FJ383207	
D4e1a2a	AP008772	AP008637
D4e1a3	NA18685	HM357813
D4e1c	HQ012262	HQ012261
D2a	EU660536	
D2a1	EU725621	
D2a1a	EU660538	EU660570
D2a1b	EU660553	AF347010
D2a2	EU482339	EU007835
D2b1	JF824877	FJ951588
D2b1a	EF153796	EU095541
D2b2	EU095542	FJ951520
D2c	FJ951506	
D4e3	FJ383174	JF824823
D4e2	AP008380	AP008896
D4e2a	AP008834	AP010982
D4e2b	AP008352	AP008557
D4e2c	AP010667	AP008825
D4e2d	AP008530	AP010990
D4e4	KF148448	
D4e4a	FJ951569	
D4e4a1	FJ858880	FJ951564
D4e4b	GU122981	FJ951616
D4e5a	AP008739	FJ951450
D4e5b	FJ858882	NA18108
D4f	EU007883	
D4f1	AP008458	AP011012
D4g1	AP008652	AP010677
D4g1a	AP008544	AP008272
D4g1b	AP008542	AP010985
D4g1c	AP008560	AP008849
D4g2	JF896799	
D4g2a	AP008422	
D4g2a1	FJ951522	FJ951578
D4g2a1a	AP008447	AP008267
D4g2a1b	HM357822	GU392078
D4g2a1c	KF849965	FJ383179
D4g2b	FJ951468	
D4g2b1	HM776717	
D4g2b1a	AP008408	AP010831
D4h1a1	AP008524	AP008416
D4h1a2	AP008730	AP013233
D4h1b	JF271012	AP008551
D4h1c	KC733262	
D4h1c1	AP009422	AP013218
D4h1d	FJ951534	NA18765
D4h2	EU828638	
D4h3a	FJ168754	EU095531
D4h3a1	FJ168713	
D4h3a1a1	FJ168717	FJ168715
D4h3a1a2	FJ168722	FJ168720
D4h3a2	FJ168727	FJ168724
D4h3a3	FJ168728	
D4h3a3a	FJ168731	FJ168729
D4h3a4	FJ168736	FJ168737
D4h3a5	FJ168739	FJ168738
D4h3a6	FJ168744	FJ168743
D4h3a_C152T!!	FJ168745	
D4h3a7	KC998701	
D4h3a8	HQ012263	FJ168746
D4h3a9	FJ168747	FJ168748
D4h3b	FJ168712	
D4h4	AP008782	
D4h4a	FJ951519	FJ951484
D4i	AP013281	NA18562
D4i1	AP008428	AP008811
D4i2	EU482308	EU007867
D4i3	KF540585	JF742200
D4j	AP008780	AY255134
D4j1a1	FJ383200	FJ951584
D4j1a1a	FJ383194	FJ383189
D4j1a1b	FJ383225	FJ383217
D4j1a2	GQ895153	HM036553
D4j1b	FJ383177	
D4j1b2	FJ383199	FJ383198
D4j2	FJ415605	
D4j2a	EU007877	EU482362
D4j3	AP011035	
D4j3a	HM044855	EF114278
D4j3a1	NA18959	AP010988
D4j11	FJ951501	AP010987
D4j4	EU482369	FJ858887
D4j4a	HM044856	FJ858888
D4j5	KC911603	
D4j5a	FJ951458	EU482325
D4j6	FJ383181	FJ951507
D4j13	KF056276	GU123036
D4j7	EU482377	
D4j7a	FJ951492	FJ951537
D4j8	EU482337	FJ951456
D4j_C16286T	KF540701	HM153527
D4j9	FJ951555	HM153528
D4j10	EU482379	FJ951488
D4j12	FJ951553	NA20524
D4j14	AP013278	AP008611
D4j15	KF849898	HG00578
D4j16	JQ657729	KF849900
D4k	DQ272107	AP008390
D4o	FJ951500	
D4o1	EU482383	
D4o1a	AP008819	FJ951483
D4o2	FJ951551	
D4o2a	DQ272113	AY195790
D4o2a1	JF824814	EU482366
D4p	FJ951448	FJ147319
D4p1	AP008424	AP010973
D4l1	FJ951528	
D4l1a	AP008778	
D4l1a1	AP013232	AP008916
D4l2a	KF148415	
D4l2a1	KF148294	KF148488
D4l2a2	FJ951570	EU482318
D4l2b	KF849897	FJ748734
D4m1	AP008321	AP008432
D4m2	EU007866	
D4m2a	KF148357	FJ951461
D4m2a1	FJ951565	
D4m2a1a	KF148254	KF148265
D4n	AP010765	AP009469
D4n1	AP008810	
D4n1a	AP008754	AP013290
D4n2	FJ951554	JF824981
D4q	FJ383210	
D4q1	FJ383234	
D4q1a	FJ383220	FJ383219
D4s	FJ748738	EU007863
D4t	JF824902	AP009462
D5a1	AP008250	AP008315
D5a1a1	AP008409	AP008437
D5a1a2	AP008619	AP011034
D5a2	FJ383201	
D5a2a	FJ951467	
D5a2a1	AY570525	HM460795
D5a2a1_C16172T	FJ383180	HG00628
D5a2a1a	AP011023	AP010743
D5a2a1a1	AP009424	FJ951453
D5a2a1a1a	AP008536	AP013256
D5a2a1a2	AP008854	AP013197
D5a2a1b	FJ383195	AY255162
D5a2a1b1	JF824956	KF540717
D5a2a2	EU482309	EU597530
D5a2b	KF849928	KF056266
D5a3	FJ951589	
D5a3a	NA17962	
D5a3a1	JF824991	
D5a3a1a	FJ951615	AY570524
D5b1	JN580302	
D5b1a1	AP008674	AP011040
D5b1a2	AP008572	AP010708
D5b1b	AP011041	AP013198
D5b1b1	AP008771	AP008345
D5b1b2	AP008260	KF540746
D5b1c	AY255169	
D5b1c1	JF824949	
D5b1c1a	KC994014	GQ119025
D5b1d	NA18576	NA18767
D5b2	AP008289	
D5b3	KF540723	
D5b3a	KF540755	KF540902
D5b3a1	KF540890	KF540893
D5b4	KF540841	KF540738
D5c1	NA18605	
D5c1a	AP008519	EU482335
D5c_T16311C	EU007893	
D5c2	HM460797	NA18113
D6a1	AP011006	JN866825
D6a1a	JF824913	AP011054
D6a2	GQ119022	KF540561
D6c	AY255151	
D6c1	GQ119040	GQ119042
D6c1a	KC994157	KC994145
N1a1a	JQ245777	
N1a1a_T152C!	JQ245754	
N1a1a1a1	GU290215	EF486519
N1a1a1a1a	GU290209	EF153778
N1a1a1a2	FJ348184	GU290211
N1a1a1a3	GU290216	
N1a1a1b	GU290207	
N1a1a2	JQ701924	EF486517
N1a1a3	JQ245794	JQ245789
N1a1b1	JQ245735	KF146262
I	JQ245791	KF146252
I1	JQ705840	JQ245776
I1a	KC911435	HM454265
I1a1	FJ460562	EF177414
I1a1a	KF146236	JQ705140
I1a1a1	JX152986	KF899911
I1a1a2	HG00369	AY339509
I1a1a3	JQ245749	JQ705378
I1a1a3a	KJ816752	JQ245748
I1a1b	JQ704690	JQ705595
I1a1c	GU123027	JQ702023
I1a1d	JQ705189	JQ702342
I1a1e	JQ701900	KJ095105
I1b	FJ968796	EF556153
I1c	JQ705932	
I1c1	KF146244	
I1c1a	JQ705364	EU564849
I1d	KF146245	KF146246
I1e	JX462710	HM156684
I1f	JX153931	KF251094
I2	EU570217	JQ245744
I2a	HQ695930	
I2a1	HQ724528	
I2a1a	HG00329	AM260588
I2a2	JQ705921	JQ703910
I2a3	JX154048	JQ705175
I2b	AY339498	AY339499
I2c	JQ705666	JQ702253
I2d	JQ245747	JQ705244
I2e	JQ703106	JQ702578
I2f	GU294854	JX152959
I3a	JQ702041	JQ245751
I3a1	JQ704837	HQ420832
I3b	KC257362	GU590993
I3c	JQ703883	KJ021060
I3d	JX440338	
I3d1	JQ702647	KC754361
I4	KJ021059	
I4a	JQ702369	JQ245737
I4a1	EF153786	KF006401
I4a2	HG00154	KF254840
I4b	JQ704976	KF146261
I5	JQ245724	
I5a1	JQ245807	
I5a1a	JQ705096	KF146248
I5a1b	JQ704713	EF660917
I5a1c	EU597573	KF146247
I5a2	NA12342	
I5a2_T16086C	JQ701894	
I5a2a	JQ245781	JQ245780
I5a3	JQ245772	JN415483
I5a4	KF146249	FJ348190
I5b	KF255549	
I5b1	KF146250	HM852817
I5c	KF644562	
I5c1	KF146251	KC787372
I6a	JQ705382	DQ112955
I6b	JQ245773	HM852831
I7	KF146253	JF298212
N1a2	AY714008	
N1a3	KC867103	
N1a3a	KC867116	KC867107
N1a3a1	KC867113	
N1a3a1a	JX153442	JQ704073
N1a3a2	KC867115	KC867114
N1a3a3	GU123019	EF660937
N1b1a	JQ245727	JQ705744
N1b1a1	EU742151	
N1b1a2	JQ705186	JQ245725
N1b1a2a	JQ705552	HQ315687
N1b1a2b	JQ704068	FJ493516
N1b1a3	JQ245803	HM765456
N1b1a_G16129A!	EU742150	
N1b1a4	HM236190	
N1b1a4a	JX153074	EU742149
N1b1a5	GU122992	JQ701805
N1b1a6	JQ702718	JQ245756
N1b1a7	JF265069	HQ384201
N1b1a8	JQ245742	
N1b1a8a	FJ460561	JQ702973
N1b1a8b	JX153036	JQ245774
N1b1b	KF297809	KF297808
N1b1b1	DQ301794	EU742154
N1b2	JQ245799	JQ245798
N5	AY714031	
N5a	GU480015	GU480020
N2a	EU787451	JF904935
N2a1	KC911573	JF930639
N2a2	JN207845	KC911368
W	KF056262	
W1	JQ702793	KF146268
W1a	AY339475	AY339491
W1b	AY339462	AY339465
W1b1	AY339466	JQ702545
W1_T119C	FJ472633	JQ705036
W1c	JQ702450	JQ245768
W1c1	JQ702327	JQ704790
W1i	KF146267	JQ702332
W1d	EF556154	
W1e	JQ705839	
W1e1	FJ543390	HM625692
W1e1a	JQ702638	KF146263
W1f	FJ384432	FJ348225
W1g	JQ702249	JQ704975
W1h	JQ898579	KF146270
W1h1	JQ703970	KF146271
W_C194T	EU086510	
W3a	JQ705313	
W3a1	KF146273	JQ245760
W3a1a1	JQ705286	FJ472839
W3a1a2	GU123000	JQ705642
W3a1a3	FJ821289	EF657508
W3a1b	GU002155	AY714043
W3a1c	JQ703058	JQ702804
W3a1d	KF142470	JQ704160
W3a2	JQ705487	GU147938
W3b	KF146279	JQ245743
W3b1	JQ701824	JQ702298
W4	KF146281	
W4a	AY714018	
W4a1	HM034304	EU400619
W4b	KF146280	FJ348217
W4c	KF146282	NA20503
W4d	KF146283	JQ245758
W5	KF146285	KC911419
W5a	JQ701827	
W5a1	JN583886	
W5a1a	EF652811	KF146284
W5a1a1	JF431251	EU135972
W5a1a1a	HM057816	GU828018
W5a2	HG00148	GU726895
W5a2b	JQ705278	JF419335
W5b	JQ703283	
W5b1	EU744586	
W5b1a	JQ701912	JX153968
W6	JQ245723	KF146287
W6a	NA20804	JQ705209
W6b	JQ245761	FJ473381
W6b1	JQ245728	KF146290
W6c	JF275845	
W6c1	KF700922	
W6c1a	KF553923	EU515252
W6d	KF146288	JQ245762
W7	HM352797	JQ702147
W8	NA19776	JQ245778
W9	JQ245759	JQ702358
N3	KC867130	
N3a	KC867127	JQ705752
N3a1	KC867129	KC867132
N3b	KC867123	KC867131
N7a1	KC887495	KC505118
N7a2	KC505116	KC887473
N7b	KC505117	KC505119
N8	JX289118	HM030548
N9a	NA18628	
N9a1	AP008726	HM589048
N9a1a	FJ748708	AY255141
N9a3	AP008608	JN857057
N9a2	JN857033	AP008414
N9a2a	AP008406	AP011046
N9a2a1	NA18973	AP008673
N9a2a2	JN857061	AP010674
N9a2a3	NA19082	AP010995
N9a2c	AP008630	AP008873
N9a2d	AP009434	AP008420
N9a4a	NA18991	AP008558
